mun,transport,total,prod,treatment
campo lugar,5.952942506649758,14.710948693527353,515.0,8.758006186877594
capilla,7.5005,18.962290164954524,93.5,11.461790164954525
carbajo,11.375,20.004607084612548,113.5,8.629607084612548
carcaboso,5.131093892066062,10.687099240484898,554.0,5.556005348418836
carmonita,14.425607831082255,20.706710338466767,290.5,6.281102507384512
carrascalejo,18.966499999999996,39.40942980032651,168.5,20.44292980032651
carrascalejo el,6.992999999999999,11.062512688292376,42.5,4.0695126882923764
casar de cceres,2.363865667360961,5.868778777766125,2439.5,3.5049131104051643
casar de palomero,8.014999999999999,17.810501815897723,689.0,9.795501815897724
casares de las hurdes,4.706632384034727,14.502134199932451,264.0,9.795501815897724
casas de don antonio,7.854,16.693143537535207,106.5,8.839143537535207
casas de don gmez,3.9059999999999997,12.479543261959874,173.5,8.573543261959873
casas de don pedro,12.387710847087295,20.64266528758262,816.0,8.254954440495325
casas de milln,2.6424999999999996,30.748497030108314,345.0,28.105997030108316
casas de miravete,4.9735,11.483368937200922,72.5,6.509868937200922
casas de reina,2.9189999999999996,9.597378921613917,98.0,6.678378921613917
casas del castaar,9.541,14.438900473904855,319.5,4.897900473904855
casas del monte,6.741632698647605,13.413889955967381,383.0,6.672257257319776
casatejada,1.4021680235671707,7.889261856883031,699.5,6.48709383331586
casillas de coria,6.417777950804608,15.116202810428025,235.0,8.698424859623417
castaar de ibor,0.6268159559071824,21.069745756233694,612.5,20.44292980032651
castilblanco,20.180999999999997,28.80676105874807,575.5,8.625761058748072
castuera,3.2199178253088587,10.755068018489848,3297.0,7.535150193180989
cceres,4.412630170397862,7.918628559760224,46565.5,3.505998389362362
ceclavn,1.7114999999999998,20.31167337664708,1027.0,18.600173376647078
cedillo,16.949757302081082,25.329273391099164,248.5,8.379516089018082
cerezo,10.661,17.222827228464936,95.0,6.561827228464937
cheles,10.838524302374356,17.48696140061857,643.5,6.648437098244212
cilleros,12.490534505996415,21.302328115663023,934.0,8.811793609666609
codosera la,12.597001170386486,20.98490102152194,1161.0,8.387899851135453
collado,2.793,9.354827228464938,100.5,6.561827228464938
conquista de la sierra,7.504,15.880992603085904,105.0,8.376992603085904
cordobilla de lcara,10.836,19.675143537535206,483.5,8.839143537535206
